OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,SHAPE_Length,SHAPE_Area
23390,1964,CA,CDF,BEU,PINE CANYON,00000000,1964/08/07 00:00:00+00,,14,,1,481.85553,,,,,00000179,1960,6296.5490824955,3029563.82849558
23391,1964,CA,CDF,FKU,P.G.&E. #16,00000000,1964/07/26 00:00:00+00,,14,,1,349.3309,,,,,00000084,1960,6403.05466065572,2220086.81350586
23392,1914,CA,USF,SRF, ,00000000,1914/11/22 00:00:00+00,,14,,1,2.987355,,,,,00400774,,510.994377108412,20725.993410473
23393,1914,CA,USF,SRF, ,00000000,1914/08/07 00:00:00+00,,14,,1,2.9873707,,,,,00400781,,511.744451407217,20786.8814953878
23394,1914,CA,USF,SRF, ,00000000,1914/08/21 00:00:00+00,,14,,1,6.9707365,,,,,00400859,,780.380942715601,48338.8646329792
23395,1914,CA,USF,KNF, ,00000000,,,14,,1,113.30369,,,,,00000000,,3631.09802916466,818473.327139844
23396,1915,CA,USF,BDF, ,00000000,,,14,,1,752.85596,,,,,00000000,,8202.8113500768,4412665.22350215
23397,1915,CA,USF,BDF, ,00000000,,,14,,1,142.68106,,,,,00000000,,4465.79839307152,845849.062108924
23398,1915,CA,USF,BDF, ,00000000,,,14,,1,47.802303,,,,,00000000,,1988.46777356248,282931.38563864
23399,1915,CA,USF,ENF, ,00000000,,,14,,1,9.3120136,,,,,0000P247,,901.069844872358,62470.5374973278
23400,1915,CA,USF,TNF, ,00000000,,,14,,1,102.62962, ,,,,00000001,,4414.6169385697,698621.856077491
23401,1915,CA,USF,SNF, ,00000000,,,14,,1,51.74876,,,,,00000001,,2635.69947407353,334189.021206943
23402,1915,CA,USF,KNF, ,00000000,,,14,,1,1352.4905,,,,,00000006,,12817.063331153,9915938.79708088
23403,1915,CA,USF,KNF, ,00000000,,,14,,1,250.91823,,,,,00000021,,5481.27923087546,1836677.09967494
23404,1915,CA,USF,KNF, ,00000000,,,14,,1,1065.9369,,,,,00000093,,10628.8093523285,7757972.08460262
23405,1915,CA,USF,KNF, ,00000000,,,14,,1,162.03471,,,,,00000099,,4767.76209307379,1178730.26219257
23406,1915,CA,USF,KNF, ,00000000,,,14,,1,68.648819,,,,,00000126,,2740.06854497466,498671.942496911
23407,1915,CA,USF,KNF, ,00000000,,,14,,1,131.25842,,,,,00000129,,3694.64290205474,953217.22087704
23408,1915,CA,USF,KNF, ,00000000,,,14,,1,243.19998,,,,,00000154,,5698.0772613962,1764227.63982667
23409,1916,CA,USF,LPF, ,00000000,,,9,,1,353.89786,,,,,00000032,,6227.92984585119,2132475.08493207
23410,1916,CA,USF,LPF, ,00000000,,,14,,1,46.096878,,,,,00000008,,2109.99013894935,277462.697675204
23411,1916,CA,USF,BDF, ,00000000,,,14,,1,24.826271,,,,,00000000,,1467.14542649638,147243.23196427
23412,1916,CA,USF,BDF, ,00000000,,,14,,1,175.94165,,,,,00000000,,3946.51327507689,1042080.56385598
23413,1916,CA,USF,LPF, ,00000000,,,14,,1,472.33591,,,,,00000016,,6780.98440069349,2883145.52109713
23414,1916,CA,USF,LPF, ,00000000,,,9,,1,1010.4614,,,,,00000019,,9901.99338423487,6161903.37650614
23415,1916,CA,USF,LPF, ,00000000,,,14,,1,140.19601,,,,,00000203,,3671.80650368747,854240.905113316
23416,1916,CA,USF,LPF, ,00000000,,,9,,1,320.11911,,,,,00000054,,5543.86910459571,1948315.64197925
23417,1916,CA,USF,LPF, ,00000000,,,9,,1,3277.9502,,,,,00000044,,17338.9100294381,19877208.5098884
23418,1916,CA,USF,LPF, ,00000000,,,9,,1,1545.3196,,,,,0000040D,,14277.0680627029,9640204.33124421
23419,1916,CA,USF,LPF, ,00000000,,,9,,1,6134.5098,,,,,00000028,,26429.3228722525,38218247.5557195
23420,1916,CA,USF,LPF, ,00000000,,,14,,1,139.11682,,,,,00000999,,3405.77941126718,864887.863841834
23421,1916,CA,USF,LPF, ,00000000,,,9,,1,1876.1885,,,,,00000048,,12909.0834376346,11657841.5788756
23422,1916,CA,USF,LPF, ,00000000,,,9,,1,1393.8593,,,,,0000040E,,11003.7973335298,8660727.18164838
23423,1916,CA,USF,LPF, ,00000000,,,9,,1,208.13986,,,,,0000002A,,4206.7464233205,1292028.55119485
