city,state,date__,time__,shape,duration -- seconds,comments,date posted,latitude,longitude 
boise,id,1991-03-10,03:00:00,disk,600.0,Saucer Shaped Craft Followed Me,5/29/2012,43.6136111,-116.2025
pasadena,tx,1991-11-15,19:30:00,unknown,600.0,UFO sighting in Pasadena TX in November 1991.,3/19/2009,29.6908333,-95.2088889
commerce,tx,1991-08-01,02:00:00,circle,120.0,spoked wheel flies in front of the moon,12/23/2002,33.2469444,-95.8997222
levittown,ny,1991-06-10,23:35:00,circle,300.0,My Mother her boyfriend and myself seen a spaceship like the one from Close Encounters of the 3rd kind hovering for like 5 minutes,3/19/2009,40.7258333,-73.5147222
grants (southeast of),nm,1991-05-05,20:30:00,light,120.0,bright light travelling normal speed stops above us for minutes then shoots off in nighttime NM sky.,8/28/2003,35.1472222,-107.8508333
huntington beach,ca,1991-06-15,12:00:00,circle,1200.0,Round all silver circle with black dots on inner edges with two white lights near it,12/2/2000,33.6602778,-117.9983333
council bluffs,ia,1991-08-31,20:00:00,cylinder,300.0,Daytime sighting of a black stationary tube that looked like UFO from Star Trek Movie with the whales.,12/19/2003,41.2619444,-95.8608333
willingboro,nj,1991-01-15,22:00:00,unknown,18000.0,Five and a half hour light show&#44 first one then many. Hovering &#44 moving fast and seemingly just flying around ...read on,9/17/2003,40.0277778,-74.8694444
boulder (10 miles west),co,1991-10-31,13:30:00,circle,45.0,Two glowing translucent spheres chasing and playing &quot;tag&quot; in the trees&#44 one landed&#44 one flew away.,1/21/2008,40.015,-105.27
chowchilla,ca,1991-08-15,03:00:00,disk,259200.0,When I was 16 years old I worked on my Dad&#8217;s vineyard. The ranch was a large ranch&#44 almost 1000 acres&#44 and was out in the middle of now,3/18/2014,37.1230556,-120.2591667
grand rapids,mi,1991-12-10,21:30:00,other,3.5,hugh  triangulation of  lights&#44nine in all&#44traveling with stunning cooperation and velocity&#44all rotating&#44silently and quick&#33,4/27/2004,42.9633333,-85.6680556
canton,ny,1991-06-01,23:30:00,light,180.0,Three&#44 blue&#44 circular lights were hovering in a triangle formation over a field in Northern&#44 NY in June 1991.,6/12/2007,44.5955556,-75.1694444
st. louis,mo,1991-09-01,16:00:00,rectangle,60.0,Sitting in the backyard reading when I noticed a dark shape against the clouds...again&#33&#33,12/2/2000,38.6272222,-90.1977778
donnelly,id,1991-08-29,03:00:00,unknown,300.0,When there is an animal mutilation&#44 what can you hear?,6/3/2010,44.7316667,-116.08
union,wv,1992-08-01,17:00:00,fireball,15.0,A slow and steadily moving brilliant ball of light with no tail beam,7/5/2008,37.5913889,-80.5438889
san lorenzo,ca,1992-05-20,14:00:00,circle,300.0,Circular&#44 2 storys&#44 rotating mirrored windows,4/30/2004,37.6811111,-122.1233333
ventura,ca,1992-04-08,21:00:00,disk,600.0,Disc shaped object&#44 multi colored lights around perimeter of the disc&#44 bright spot light shining from bottom of craft&#44 comfirmation,10/31/2003,34.2783333,-119.2922222
calistoga (7 miles outside of),ca,1992-08-14,20:00:00,triangle,600.0,Object was a black triangle with 3 spot lights in the corners&#44 100 yrds above the trees&#44 hovering and silent.,1/24/2014,38.5788889,-122.5786111
gastonia,nc,1992-06-15,22:00:00,sphere,300.0,Bright Orb,5/15/2006,35.2619444,-81.1875
fruitland,id,1992-06-20,00:30:00,light,60.0,Bright light that zig-zagged in the sky.  Speed of pattern and size is impossible with human-made aircraft.,9/24/2003,44.0077778,-116.9155556
golden valley,mn,1992-09-25,21:30:00,flash,9000.0,A flashing bright&#44 white light hovered over my neighborhood for over 2 hours.,4/1/2000,45.0097222,-93.3488889
los angeles,ca,1992-11-28,22:30:00,other,16200.0,Bright white football shaped object&#44 turned neon green and shot off horizontally  500 Lights On Object0: Yes,3/19/2009,34.0522222,-118.2427778
landers,ca,1992-04-15,22:00:00,fireball,3600.0,I Saw a fire ball above a distant hill that appeared cool rather than hot like the Sun,3/11/2003,34.2661111,-116.3922222
andover,ks,1992-07-01,15:00:00,cigar,180.0,cigar shape&#44 south central kansas 1992 or 1993,8/5/2001,37.7138889,-97.1361111
lubbock,tx,1992-10-15,18:00:00,cigar,1800.0,The object was hidden in a cloud.,7/25/2004,33.5777778,-101.8547222
kamiah,id,1992-09-05,01:30:00,circle,600.0,maybe a  somewhat round craft with three large lights per side&#44 with a seperate round craft,12/2/2000,46.2272222,-116.0283333
montrose,pa,1992-05-15,22:00:00,circle,240.0,white light,9/13/2002,41.8338889,-75.8775
new church,va,1992-01-15,17:30:00,sphere,1800.0,WHITE LIGHTS BLINKING IN A SPHERICAL SHAPE&#44 STATIONARY OVER FIELD. TRANSPARANT OR REFLECTING. WHEN IT MOVED&#44 IT SPED SOUTH AT SPEEDS OV,2/16/2000,37.9788889,-75.5313889
sacramento,ca,1993-06-01,09:00:00,other,900.0,World war two military cargo plane.  Similar to a jumbo jet huvering 15 feet above top of car. Silent with no jets or propeler on wings,1/28/1999,38.5816667,-121.4933333
milan,oh,1993-06-30,19:00:00,triangle,900.0,Giant Black Delta Triangle Cut Corner&#39s&#443 huge circular white light&#39s underneath.90% silent and very slow,5/12/2010,41.2975,-82.6055556
topeka,ks,1993-07-13,21:00:00,triangle,300.0,I saw a triangular UFO with three lights on it one evening in 1993.,7/11/2000,39.0483333,-95.6777778
muncie,in,1993-08-20,22:00:00,triangle,300.0,ufo sighted just north of muncie&#44indiana,3/19/2009,40.1933333,-85.3863889
warren,pa,1993-12-15,20:00:00,triangle,900.0,I was about 10 years old at the time&#44 I remember playing outside in the snow&#44 and eventually laying on my back looking up at a clear&#44 s,4/27/2007,41.8438889,-79.1452778
houston,tx,1993-07-01,15:00:00,disk,10.0,Sighted silver disk in motion on a cloudless&#44 sunny day.,4/2/1999,29.7630556,-95.3630556
reno,nv,1993-05-09,00:00:00,cigar,300.0,looking directly east&#44 saw object slowly moving north from south&#44 stop&#44 drop 3 fireballs&#44 slowly moved south and with no hesitation&#44 to,4/1/2000,39.5297222,-119.8127778
moscow,id,1993-07-15,22:00:00,other,180.0,Moscow&#44 ID-Row of 5-6 off white lights moving silently &amp; slowly east to west summer 93.,8/12/2008,46.7325,-116.9991667
sedona,az,1993-05-07,20:00:00,formation,1800.0,numerous UFO&#39s erratically streaming from red rock formation &quot;guarded&quot; by gov&#39t black helicopters,7/25/2004,34.8697222,-111.7602778
elkton,md,1993-07-15,17:30:00,light,300.0,A light descended slowly into the Elk River&#44 just off the Chesapeake Bay.,4/25/2002,39.6066667,-75.8336111
baton rouge,la,1993-11-23,23:30:00,triangle,30.0,I saw 3 orange illuminated triangles flying very low between 2 apartment buildings&#44 just above the trees.,7/5/1999,30.4505556,-91.1544444
palm desert,ca,1993-08-15,04:00:00,triangle,2400.0,triangular object  flew right over us,12/23/2002,33.7222222,-116.3736111
crofton,md,1993-06-01,06:30:00,other,60.0,Blimp shaped craft with lights and orange glowing bottom.,3/19/2009,39.0016667,-76.6877778
rochester,ny,1993-06-30,10:00:00,changing,300.0,Shape changing craft.,4/12/2013,43.1547222,-77.6158333
pryor,mt,1993-10-01,20:00:00,light,1800.0,Floating Light&#44 Like a Spotlight,11/3/2005,45.4297222,-108.5325
indianapolis,in,1993-04-13,22:30:00,circle,900.0,A rotating&#44 soundless object followed me home from boy scouts.,3/2/2004,39.7683333,-86.1580556
oliverea,ny,1993-01-20,21:00:00,light,300.0,two lights hovering over remote area of Catskill Mountains&#44 made no sound&#44 turned a sharp angle&#44 and sped away,5/24/2005,42.0652778,-74.4605556
harlowton (in general vicinity of malmstrom afb),mt,1993-11-24,19:00:00,formation,21600.0,6-7 hr. long event during which a triangle&#44disks and an IMMENSE cylindrical object were observed clearly at close range and through opt,9/12/1999,46.4355556,-109.8336111
farmington,mo,1994-10-13,19:30:00,cylinder,120.0,I spotted what I thought was a bright landing light of a larger than usual aircraft for our airport.,4/2/1999,37.7808333,-90.4216667
darby,mt,1994-06-15,23:00:00,unknown,300.0,Stars moving in a straight line.,2/18/2001,46.0227778,-114.1772222
harrisonburg,la,1994-04-11,21:00:00,disk,30.0,large&#44 well-lit saucer passes only a hundred feet above house,2/22/2005,31.7719444,-91.8213889
warsaw,mo,1994-10-01,21:00:00,cigar,600.0,Triangle shaped object hovering above the water.,11/28/2007,38.2430556,-93.3816667
atlanta,tx,1994-06-01,02:00:00,other,14400.0,We saw a giant ball of light and lighting and some people like things moving around.,12/2/2000,33.1136111,-94.1641667
tallahassee,fl,1994-06-15,15:00:00,egg,20.0,I saw an egg like object out of the side of my eye while driving&#44 but it changed speed and shot away with no transition time.,6/12/2007,30.4380556,-84.2808333
mesa (north of),az,1994-03-10,22:30:00,triangle,90.0,I saw a black craft floating in the air&#44 no noise or anything.  When I got out of my car to see what was going on&#44 it left.,4/2/1999,33.4222222,-111.8219444
stone ridge,ny,1994-10-15,13:00:00,oval,30.0,Sitting on bench at UCCC. Looked up to the West and saw an oval UFO. Closed my eyes because my mind could not believe what it was witne,9/2/2005,41.8530556,-74.1394444
el segundo,ca,1994-01-01,00:00:00,other,1800.0,What I&#39m seeing&#44 please help.,11/11/2013,33.9191667,-118.4155556
wadsworth,oh,1994-08-25,13:00:00,sphere,30.0,It was a cloudless&#44 bright day. As I was getting into my Chevy Cavalier I saw this flat black bowling ball shaped thing with a ring aro,4/2/1999,41.0255556,-81.73
long beach,ca,1994-05-07,09:00:00,oval,1200.0,I observed the Craft at a close enough distance to know it was not anything man made,1/24/2012,33.7669444,-118.1883333
cornersville,tn,1994-10-14,20:30:00,circle,1200.0,Bright&#44 round&#44 white light flies over Coleman RD at night. 4 people saw that I know of. It was moving slow.,6/18/2003,35.3613889,-86.8397222
lahaina (puamana) (residential oceanside),hi,1994-06-01,02:30:00,circle,6.0,5 Bright glowing balls with NO comet trail traveling at great speed from north to south over hawaian islands,1/28/1999,20.8783333,-156.6825
riverside,ca,1994-10-11,04:00:00,chevron,4.0,Double white lights in chevron shape flying north to south about the size of the constellation of the Pleades&#44 covered half the sky in,1/28/1999,33.9533333,-117.3952778
seattle,wa,1994-12-24,01:39:00,light,20.0,Man witnesses very bright&#44 multi-colored object pass overhead very fast.  Disappeared to the north in 20 sec..,11/2/1999,47.6063889,-122.3308333
plymouth,in,1994-11-11,22:20:00,diamond,90.0,My friend and I were walking to my house when we stopped to look at the moon.  We started looking at stars and we saw a little ship com,5/24/1999,41.3436111,-86.3097222
vidor,tx,1994-11-10,23:00:00,unknown,7200.0,i believe i was abducted almost directly in front of my home. 500 Lights On Object0: Yes,8/7/2007,30.1313889,-94.0152778
las vegas,nv,1994-07-15,09:00:00,triangle,420.0,I told the 911 Operator that i was looking at a &quot;huge black triangle&quot;.,8/5/2009,36.175,-115.1363889
montgomery,al,1994-06-01,21:00:00,triangle,10800.0,triangular object with 3 bright lights moved east to west  across east montgomery over the v.a. hospital.,10/31/2003,32.3666667,-86.3
oxley,ar,1994-10-15,19:00:00,fireball,2.0,On the way to my grandfathers house myself and my father witnessed a red fireball hovering in the middle of the old gravel road we were,3/21/2014,35.8422222,-92.4569444
citra,fl,1994-10-14,19:30:00,sphere,120.0,We saw a perfect  Spherical ball of light in the sky that  wasn&#39t the moon.,11/21/2010,29.4116667,-82.11
scottville,mi,1994-06-01,17:00:00,changing,300.0,A shape changing from round to disc which paced us for several minutes before speeding away. No sound.,3/21/2003,43.9547222,-86.28
tekoa,wa,1994-08-01,00:00:00,triangle,5.0,((HOAX??))  With out a shaddow of dought.,7/5/2008,47.2233333,-117.0711111
new york city,ny,1994-08-25,12:00:00,egg,60.0,no light and moved very slowly,6/6/2000,40.7141667,-74.0063889
bakersfield (near),ca,1994-08-15,22:45:00,triangle,300.0,Saw bright light in distance&#44 came towards my car rapidly&#44 hovered and spun slowly parallel to my vehicle for about a minute and left,8/5/2009,35.3733333,-119.0177778
lyndhurst,oh,1995-02-15,21:30:00,unknown,600.0,Heard Loud&#44 roaring &#44 observed 3 strobing lights at 40 degrees above horizon &#44 20 degrees wide formation&#44  formation of lights was STAT,1/28/1999,41.52,-81.4888889
hesperia,ca,1995-07-15,00:00:00,fireball,600.0,It was a glowing orange ball. IT was verry large. IT moved at a rappid speed right&amp;left. Then dissapered in the center of rotating diam,8/10/1999,34.4263889,-117.3
madras,or,1995-06-01,20:00:00,other,109800.0,We were possibly abducted by a pyramid shaped UFO? while traveling in eastern oregon.,5/15/2013,44.6336111,-121.1283333
philadelphia,pa,1995-01-25,22:40:00,triangle,300.0,saw object out of second floor window.,10/15/2002,39.9522222,-75.1641667
kingsford heights,in,1995-03-25,22:00:00,triangle,60.0,3 triangle shaped objects hovering overhead.,8/5/2000,41.4805556,-86.6916667
norman,ok,1995-07-15,23:00:00,sphere,30.0,I looked up in the sky and saw a half sphere shaped object with extensions floating in the sky.  It made no noise.,8/10/1999,35.2225,-97.4391667
quartzsite,az,1995-04-25,01:30:00,triangle,300.0,TRIANGLE flies over I 10 IN AZ.,11/21/2010,33.6638889,-114.2291667
long beach,ca,1995-06-15,20:30:00,chevron,60.0,Chevron/triangular orbs of light over Long Beach&#44 CA.,7/5/2005,33.7669444,-118.1883333
reno,nv,1995-08-06,21:00:00,formation,60.0,dull orange group of craft maneuvering and rotating arround each other in the sky over reno,12/19/2003,39.5297222,-119.8127778
london,oh,1995-08-01,00:00:00,teardrop,1800.0,Interaction with 1 of 3 objects in the direction of Wright Patterson AFB.,5/15/2013,39.8863889,-83.4483333
rochester,ny,1995-05-17,21:05:00,flash,600.0,I was a superviser in a machine shop B shift&#44my guys had lunch at nine.They were going out to get something to eat&#44and I was still,12/23/2002,43.1547222,-77.6158333
dover,nh,1995-10-01,23:00:00,triangle,600.0,six light triangle in dover,9/24/2003,43.1977778,-70.8741667
farmington,nm,1995-07-01,01:00:00,cone,3600.0,Large white and green object spotted for appx 1 hour.,8/16/2002,36.7280556,-108.2180556
pierce city,mo,1995-09-11,16:30:00,cigar,5.0,Cigar- shaped metallic object hovers over field- shines light&#44 disappears in daylight near Pierce City MO.,9/24/2003,36.9458333,-94.0
kissimmee,fl,1995-09-15,07:00:00,disk,300.0,green glowing glow around silver disk with red ball on bottom,4/14/2009,28.2916667,-81.4077778
pierce city,mo,1995-09-11,16:30:00,cigar,2.0,update 9/11/95 ufo Pierce City,11/26/2003,36.9458333,-94.0
dearborn,mi,1995-08-18,22:45:00,triangle,60.0,fire like triangular object  with sapphire blue cloud that pulsated  500 Lights On Object0: Yes,2/24/2007,42.3222222,-83.1763889
mesa,az,1995-04-05,12:01:00,disk,300.0,They&#39re here whether you like it or not.,9/24/2003,33.4222222,-111.8219444
san luis obispo,ca,1995-05-24,03:00:00,circle,5.0,red light moving in a circular motion,9/21/2000,35.2827778,-120.6586111
newport,mi,1995-04-10,21:00:00,other,2700.0,A montage of events&#44 you figure out what this was&#44 I really am not sure.,2/1/2007,42.0022222,-83.3086111
plano,tx,1995-11-01,22:30:00,sphere,2.0,Blue Sphere of Light - Turns into Upside Down Pyramid of Light,9/17/2000,33.0197222,-96.6986111
owosso,mi,1995-12-01,22:55:00,light,5.0,Pilot&#44 former FAA controller&#44 sees 5 &quot;pinkish&quot; small lights in clear area of sky&#44 arranged in precise staggered-V formation&#44 streak.,11/2/1999,42.9977778,-84.1766667
rochester,ny,1995-10-21,22:00:00,disk,600.0,UFO followed me,12/3/2004,43.1547222,-77.6158333
brooklyn,oh,1995-07-15,21:00:00,cigar,600.0,CIGAR-SHAPED CRAFT DISAPPEARED BEFORE OUR EYES,11/20/2002,41.4397222,-81.7355556
newaygo,mi,1995-08-13,11:00:00,chevron,45.0,Large silent sighting in the woods of mid Michigan hovers and disappears.,1/10/2014,43.4197222,-85.8
wasilla,ak,1995-09-15,02:00:00,light,600.0,Noticed two objects traveling in an erratic manner in a southerly direction out of the North-East.,3/7/1998,61.5813889,-149.4394444
moriches (long island),ny,1995-11-17,22:05:00,other,120.0,NY Radar Air Traffic  Controllers see UFO over Long Island.,5/13/2012,40.8072222,-72.8216667
cleburne,tx,1995-01-15,22:00:00,triangle,180.0,Two friends and I saw a triangular-shaped hovering aircraft which quickly sped away when we stopped to look at it.,3/31/2008,32.3475,-97.3863889
seattle (west side),wa,1995-05-13,19:30:00,triangle,120.0,MY father and I were looking at the stars and we saw a triangle UFO with 3 white lights on each corner and 1 red light in the middle...,7/11/2000,47.6063889,-122.3308333
boulder,co,1995-11-15,22:30:00,formation,10.0,I was sitting in my back yard talking on the phone.When I saw 1 green dot fly south Followed by 2 more green dots flying parallel to ea,11/17/1999,40.015,-105.27
slidell,la,1995-10-05,21:30:00,formation,600.0,Appeared to be a formation of sorts at first; 1500-2500&#39 feet off the surface; 1/2-3/4 mile in length E-W&#44 1/4 mile wide N-S; over Lake,5/24/1999,30.275,-89.7811111
ponte vedra beach,fl,1995-10-17,03:15:00,other,180.0,noticed light out of place on way home approached the object was elliptical in shape almost lika football i was apprxmtly 15 yards from,1/28/1999,30.2394444,-81.3858333
clayton,ga,1995-10-20,22:00:00,oval,1200.0,bright oval white light/moves at an incrediable speed zigzaging between trees(forest like)/followed us about 15 to 20 minutes.,6/12/2008,34.8780556,-83.4011111
long beach,ca,1996-04-15,05:11:00,fireball,1.5,A Large Brilliant green fireball was seen &quot;fall to earth&quot; in the direction of the Long beach airport.There was no fire or evidence of a,1/28/1999,33.7669444,-118.1883333
hobe sound,fl,1996-11-14,19:00:00,fireball,5.0,Green fireball moving at high rate of speed.,3/7/1998,27.0591667,-80.1366667
canandaigua,ny,1996-08-01,20:30:00,triangle,900.0,large triangular object&#44 black with small red and white lights. Hovered for 10 minutes at 500ft elevation,2/1/2007,42.8741667,-77.2883333
three rivers,mi,1996-03-21,21:00:00,light,900.0,Wihte light UFO 19,12/3/2004,41.9438889,-85.6325
anderson,ca,1996-03-30,10:00:00,cross,1800.0,airplane 200 ft altitude&#44 about 40-50 ft width&#44 60 ft length&#44 motionless for 20 minutes&#44 then turned slowly and moved forward ne about,4/2/1999,40.4483333,-122.2966667
longmont,co,1996-06-01,00:00:00,other,2.0,Train like ufo on Airport Rd in Longmont,10/10/2011,40.1672222,-105.1013889
east providence,ri,1996-06-29,22:00:00,light,2700.0,Very bright white obj.  changes shape from circle to oval.  1/3 apparent diam of moon at closest approach.  Blinking lights at top.,11/2/1999,41.8136111,-71.3705556
gold beach,or,1996-08-15,12:00:00,other,300.0,Me and my family were on our way to the county fair and we saw the UFO,2/23/2000,42.4075,-124.4205556
union city,pa,1996-07-03,05:00:00,other,300.0,we ar more primitive than we think&#33,9/4/2003,41.8994444,-79.8455556
beltsville,md,1996-06-01,05:30:00,triangle,1.0,two small triangular craft very fast and absolutly silent,7/5/1999,39.0347222,-76.9077778
van alstyne,tx,1996-05-12,21:00:00,disk,10800.0,Close encounter in Texas&#44 missing time.,2/18/2001,33.4213889,-96.5769444
redding,ca,1996-04-05,12:00:00,disk,60.0,I saw it hover for a 1min.Then it tuck off at a high speed.,1/28/1999,40.5866667,-122.3905556
menoken,nd,1996-05-29,23:10:00,sphere,600.0,Brightly glowing ball of light motionless&#44 then moving&#44 then motionless.The object moved at various angles around an airport.,1/28/1999,46.8205556,-100.5308333
miltona,mn,1996-02-14,21:30:00,circle,1200.0,Circular object follows car&#44 4 witnesses.,9/21/2000,46.0441667,-95.2911111
lodi,ca,1996-06-15,22:00:00,triangle,10.0,UFO (or something) seen in Lodi&#44 CA (1996),10/30/2006,38.1302778,-121.2713889
show low (rural),az,1996-06-04,22:00:00,other,3600.0,UFO Crash - 1996 - Apache County&#44 AZ,7/16/2003,34.2541667,-110.0291667
albuquerque (manzano mountains),nm,1996-11-15,22:30:00,sphere,1800.0,A bright purple sphere Hoovers then uses some type of warp drive to dissappear.,9/9/2013,35.0844444,-106.6505556
safford,az,1996-10-01,18:00:00,sphere,30.0,Antigravity flying sphere,10/12/2001,32.8338889,-109.7069444
stockton,nj,1996-01-20,21:44:00,light,900.0,2 men saw craft appear as star and moved at lighting speed and disapear into another star.,12/23/2002,40.4077778,-74.9786111
hayward (next to hawyard airport in; i was in airport),ca,1996-01-03,23:08:00,unknown,6.0,I was with my brother at the airport fuleing up a plane. After that we drove the turkback to the fule center. I was looking toward the,3/7/1998,37.6688889,-122.0797222
gulf breeze,fl,1996-12-11,19:55:00,fireball,105.0,Large red firy orange balls in a figure approaching   a triangle in shape40 years old &#44 some graduate school&#44,3/7/1998,30.3569444,-87.1638889
lubbock,tx,1996-08-15,01:00:00,circle,3600.0,Several strange lights in Texas,8/11/2004,33.5777778,-101.8547222
winona (about 30miles nw of),mn,1996-07-30,01:30:00,flash,120.0,The lights followed alongside the car,2/22/2005,44.05,-91.6391667
astoria (outside of),or,1996-10-13,15:00:00,circle,30.0,large metallic object crashed in woods in astoria oregon.,8/16/2002,46.1880556,-123.83
monrovia,ca,1996-04-15,14:00:00,chevron,900.0,Highly polished shuttle looking craft which hovered  at high altitude in the air directly above me,3/4/2008,34.1480556,-117.9980556
forks,wa,1996-09-15,21:00:00,unknown,900.0,In 1996 I was at my daughters in forks washington. about 9 p.m. i steped outside to smoke&#44 i was looking at the stars&#44 it&#39s usualy clou,8/5/2012,47.9505556,-124.3841667
kalamazoo,mi,1996-07-15,05:30:00,other,60.0,In the summer of 1996 my friend and I saw a bright object traveling across the sky very quickly making unusually strange movements&#44 str,1/28/1999,42.2916667,-85.5872222
west manchester,oh,1996-08-07,23:00:00,unknown,60.0,2 bros. saw an object in front of S. windowappear to come from sky and make flashesof light two different times&#44 then shoot away,3/7/1998,38.6880556,-83.6094444
gretna,la,1996-04-15,00:30:00,sphere,90.0,Red strobbing object&#44 approx. the size of a basketball.,2/18/2001,29.9144444,-90.0538889
new york city (manhattan),ny,1996-10-06,15:00:00,triangle,1200.0,Boomerang-shape&#44 &quot;dividing&quot;? objects.,8/28/2003,40.7141667,-74.0063889
san marcos,tx,1996-06-01,17:00:00,oval,15.0,A Silver object&#44 no sound&#44 moving from North to South. It changed&#44 glowed bright white and then just seemed to vanish.,12/2/2000,29.8830556,-97.9411111
penrose,co,1996-08-15,22:00:00,other,900.0,UFO shot down over military installation,2/14/2006,38.425,-105.0222222
odessa,tx,1996-10-13,19:47:00,diamond,600.0,We saw a huge diamond shaped object hovering over us.,7/29/2000,31.8455556,-102.3672222
sedona,az,1996-11-29,21:45:00,light,300.0,Orange Blazing Light over Rim of Mountain Northeast of Long Canyon.,3/2/2004,34.8697222,-111.7602778
freehold,nj,1997-07-01,00:00:00,light,5.0,Strange Orange Light,3/17/2004,40.26,-74.2741667
mcminnville,or,1997-07-04,22:14:00,disk,50.0,I was watching fire works with binoculars&#44 and I saw something weird. As I watched it&#44 I ruled out the possibility of a plane or fire w,9/26/1998,45.2102778,-123.1975
kosciusko,ms,1997-04-03,21:00:00,light,300.0,Flashing Lights Seen Over Treeline in Kosciusko&#44 MS 1997,5/2/2003,33.0575,-89.5875
kalamazoo,mi,1997-03-15,01:00:00,flash,2.0,Immense red flash like a very bright red lightning flah.  It lit up the whole sky&#44 the ground and my truck.  It traveled from the groun,1/28/1999,42.2916667,-85.5872222
brooklyn,ct,1997-01-08,17:20:00,disk,2.0,Flat&#44 round object heading rapidly SE horizontally.I was on my way home from work on roads I&#39ve travelled at this time of day for t,3/7/1998,41.7880556,-71.9502778
ellensburg (? on a pass just pass&#44 just east of),wa,1997-01-15,23:00:00,fireball,40.0,Orange orb,2/25/2003,46.9966667,-120.5466667
yucaipa,ca,1997-03-21,21:00:00,fireball,120.0,A single orange glowing object moving East at a steady speed.  Began to drop flaming objects like the shards from a welders torch.  Aft,3/7/1998,34.0336111,-117.0422222
las vegas,nv,1997-02-14,18:00:00,formation,300.0,Formation of  balls of light travelling across the sky&#44 one behind the other&#44 early in 1997.,8/7/2007,36.175,-115.1363889
minneapolis,mn,1997-10-25,21:45:00,triangle,60.0,A small V of lights moving very quickly from west to east,1/28/1999,44.98,-93.2636111
granite city,il,1997-07-04,21:15:00,light,900.0,Fourth of july celebration.,9/26/1998,38.7013889,-90.1486111
carrollton,tx,1997-01-11,22:00:00,circle,2700.0,Very distinct object (circular in shape) passed over three major suburb cities of Dallas&#44 Tx.,2/8/2005,32.9536111,-96.89
oceanside,ca,1997-05-02,22:05:00,other,600.0,AN ILLUMINATED OBJECT WAS FIRST SIGHTED IN THE SOUTHEAST&#44ILUMINATED WITH AN ORANGE LIGHT OF MEDIUM INTENCITY.THE OBJECT WAS FLYING AT A,1/28/1999,33.1958333,-117.3786111
oakland,ca,1997-11-14,19:55:00,disk,900.0,Saw hovering craft above SF Bay Area above Oakland Coliseum area.  Craft was saucer like from what we could see.  The top was unlit and,1/28/1999,37.8044444,-122.2697222
sioux falls,sd,1997-11-17,02:00:00,other,180.0,Giant white streak moving across the sky at a high rate of speed stopped and took a 90 degree turn and went straight up  and eventually,1/28/1999,43.55,-96.7
dupo,il,1997-07-04,22:00:00,light,10.0,Flying object beamed a large blue light across the ground as the object moved from south to north .  We were directly in the path of th,9/26/1998,38.5161111,-90.2102778
fairhope,al,1997-04-05,14:00:00,circle,60.0,Man walking dog sees tire-shaped object w/windows. No sound&#44 no animal reaction.,9/26/1998,30.5227778,-87.9033333
fairhope,al,1997-04-05,14:00:00,other,30.0,Witness observes tire-shaped object w/windows.,1/28/1999,30.5227778,-87.9033333
prescott valley (4-5  miles east of),az,1997-02-15,20:00:00,other,2400.0,Observed yell/gold slightly out of round orb floating below treetop level less than 50 ft. from me&#44 unobstructed view&#44 silent&#44 observed,4/15/2000,34.61,-112.315
grove city,pa,1997-06-15,00:00:00,triangle,900.0,V-shaped object hovering over local hospital  Several other local sightings.,1/28/1999,41.1577778,-80.0888889
winnsboro,la,1997-05-27,00:00:00,other,600.0,well the object sort of came out from the north as i was riding my bike home.,1/28/1999,32.1630556,-91.7205556
warrenton,va,1997-07-23,20:00:00,triangle,10.0,triangular metalic object high in the sky moving at an extreme high rate of speed.changed direction 3 times at sharp angles.,9/6/2002,38.7133333,-77.7955556
renton,wa,1997-11-14,21:11:00,formation,30.0,4 yellowish-orange balls with streaming tails moving very slowly from West to East disappearing behind the Cascade foothills.,1/28/1999,47.4830556,-122.2158333
las cruces,nm,1997-07-15,22:30:00,fireball,3600.0,Orange&#44 glowing ball moving at height of 50 to 300 feet over and around a city park (Apodaka Park). Pursued by 2--3 helos w/searchlight,11/1/1998,32.3122222,-106.7777778
austin,tx,1997-04-07,17:00:00,triangle,1800.0,I was driving northbound on I-35&#44 and was around 5 miles south of Austin when I noticed an intensely bright white light far ahead on th,1/10/2009,30.2669444,-97.7427778
las cruces,nm,1997-06-15,03:00:00,fireball,300.0,Circle shaped red fire ball in Las Cruces&#44 NM,11/19/2012,32.3122222,-106.7777778
peoria,il,1997-06-15,01:00:00,disk,180.0,Two people see UFO hovering at a distance of 10 feet.,8/24/2010,40.6936111,-89.5888889
cedar river,mi,1997-11-20,23:00:00,fireball,5.0,Bright Green Fireball over the Green Bay of Lake Michigan. Fireball went straight up and then down at high rate of speed.  The Fireball,8/10/1999,45.4111111,-87.3544444
sammamish,wa,1997-09-15,20:40:00,unknown,30.0,I looked North toward Mt. Baker&#44 I saw a bright light that hoovered for about 15 seconds&#44 then shot up&#44 then to my left&#44 then disappear,4/27/2004,47.6419444,-122.0791667
bakersfield,ca,1997-04-15,22:30:00,light,2.0,I was looking up at the sky for Hale-Bop&#44when from the south a round yellowish light zoomed across the sky at a very high speed.,3/7/1998,35.3733333,-119.0177778
goodyear,az,1997-03-13,20:30:00,unknown,300.0,The object sat a while in a field next to us&#44 then slowly floated right over us until it disappeared.,3/19/2009,33.4352778,-112.3575
lombard,il,1997-01-13,17:30:00,fireball,1800.0,While my friend and I were out sledding by my house we saw a comet-like object and eventually nine other similar objects appeared.,4/28/2001,41.88,-88.0077778
