city,state,date__,time__,shape,duration -- seconds,comments,date posted,latitude,longitude 
troy,nh,2011-07-30,21:18:00,oval,120.0,If it looks like the ISS but isn&#39t&#44  what is it?  ((NUFORC Note:  Possible flare from an &quot;Iridium&quot; satellite??  PD)),8/7/2011,42.8238889,-72.1816667
ewa beach,hi,2011-08-14,22:50:00,circle,120.0,Bright celestial object larger than a star,10/10/2011,21.3155556,-158.0072222
lancaster,oh,2011-07-04,21:30:00,egg,900.0,Witnessed a floating  pulsating orange ball&#44 that stopped glowing&#44 flashed blue/white lights&#44 glowed orange again&#44 then went out.,7/6/2011,39.7136111,-82.5994444
las vegas,nv,2011-03-31,15:30:00,unknown,900.0,Las Vegas UFO Sighting 3.31.2011,4/3/2011,36.175,-115.1363889
richmond,ky,2011-12-30,23:00:00,cigar,30.0,Two solid lights about 100 feet in the air over a field.,1/12/2012,37.7477778,-84.2947222
kalamazoo,mi,2011-08-18,19:00:00,light,7200.0,glowing orbs in the sky,8/21/2011,42.2916667,-85.5872222
mercer island,wa,2011-11-11,16:25:00,unknown,120.0,I was standing on my balcony on Mercer Island&#44 which overlooks Lake Washington and Bellevue. At the time&#44 lighting was very golden beca,12/12/2011,47.5708333,-122.2208333
cincinnati,oh,2011-07-04,22:00:00,teardrop,900.0,Pitch black UFOs with red-pink light that faded,7/6/2011,39.1619444,-84.4569444
manson,wa,2011-07-04,21:40:00,circle,6.0,Unidentified object fades from sight above Lake Chelan near Manson WA,7/17/2011,47.885,-120.1572222
oakdale,ca,2011-08-15,23:00:00,light,15.0,2 Big Bright White Lights&#44 Side By Side Round Shaped&#44 With A Row Of Small Color Lights Down The Center,10/10/2011,37.7666667,-120.8461111
escondido,ca,2011-05-11,22:35:00,light,2100.0,blue light,5/29/2011,33.1191667,-117.0855556
orting,wa,2011-08-01,01:00:00,light,7200.0,Bright light in western sky,8/21/2011,47.0980556,-122.2030556
la habra,ca,2011-07-28,20:45:00,light,900.0,4 OVAL-SHAPED LIGHTS FLYING OVER AIR PLANE TRAFFIC AT HIGH SPEEDS IN LA HABRA&#44CA,8/7/2011,33.9319444,-117.9452778
rosenberg,tx,2011-01-07,20:30:00,other,150.0,an octangular object was flying above highway 59.,1/31/2011,29.5569444,-95.8083333
milford,mi,2011-12-02,22:00:00,rectangle,300.0,Internally illuminated&#44 slow moving craft passing by at 3-400 feet.,12/12/2011,42.5936111,-83.5994444
lipan (sw of),tx,2011-04-04,20:32:00,other,20.0,SOUTH WEST OF LIPAN&#44 TX&#44 ONE ORANGE BALL OF LIGHT SPLITS TO 3&#44 THEN VANISH.,5/2/2011,32.5183333,-98.0455556
dillon,sc,2011-03-22,19:30:00,fireball,2.0,A bright light plummeting toward the earth that looked brighter that any shooting star I had ever seen just before dark.,3/23/2011,34.4163889,-79.3713889
oak bluffs,ma,2011-08-11,22:00:00,light,420.0,seven orange lights floating over ocean in oak bluffs,8/21/2011,41.4541667,-70.5625
travelers rest,sc,2011-02-26,03:30:00,unknown,60.0,Four lights hovering above us&#44 following us&#44 then disappearing.,3/10/2011,34.9675,-82.4436111
burley,id,2011-03-01,05:15:00,fireball,1800.0,Bright fireball in sky 15 miles away hovering in sky for 30 minutes until sun rises.,5/29/2011,42.5358333,-113.7919444
arcadia,ca,2011-12-29,21:15:00,light,2.0,Green flash of light over Arcadia&#44 California.,1/12/2012,34.1397222,-118.0344444
clayton,nj,2011-04-14,23:37:00,light,5.0,soft pale peach light ascended slowly controlled from 68 degrees near ursa major and SHOT OFF vanished out of sight like shooting star&#33,5/2/2011,39.66,-75.0925
baltimore,md,2011-12-22,17:45:00,cigar,120.0,Rotating circular object with blinking lights hovers over I-95 in Maryland,1/12/2012,39.2902778,-76.6125
lake in the hills,il,2011-09-17,20:45:00,triangle,900.0,Strange glowing orange orb UFO lights northwest Chicago il,10/10/2011,42.1816667,-88.3302778
north aurora,il,2011-06-09,23:50:00,light,1200.0,Two lights in north aurora&#44 white to yellow to orange in color&#44 slow in movment,6/12/2011,41.8061111,-88.3272222
rockford,il,2011-09-08,23:20:00,light,5.0,Small&#44 fast&#44 bright&#44 silent UFO streaks across Rockford sky at super speed&#44 disappears into cloud,10/10/2011,42.2711111,-89.0938889
corydon,in,2011-12-30,00:20:00,triangle,900.0,Multiple triangular aircraft&#44 white red and orange lights. low flying&#44 super quiet&#44 not fast,1/12/2012,38.2119444,-86.1219444
monticello,ny,2011-07-23,22:15:00,light,1.0,Me and a friend saw a giant blue/white light up in the sky that made no sound.  ((NUFORC Note:  Flare from &quot;Iridium&quot; satellite?  PD)),8/7/2011,41.6555556,-74.6897222
naples,me,2011-06-20,22:00:00,unknown,40.0,Fishing remote pond in Canoe&#44 observed bright light moving across sky that slows&#44 stops and disappears .,3/13/2012,43.9716667,-70.6097222
gastonia,nc,2011-02-14,00:45:00,circle,2100.0,Unknown blue object sighted in the southern sky &#44 south of Gastonia&#44 N. C.  USA  ((NUFORC Note:  Sighting of Sirius?  PD)),2/18/2011,35.2619444,-81.1875
millbrook,ny,2011-02-14,19:30:00,teardrop,180.0,I saw a triangular hovering object in the night sky.,2/18/2011,41.785,-73.6944444
evans mills,ny,2011-07-19,22:00:00,unknown,300.0,Tight groups of range horizontal lights in the sky.,8/7/2011,44.0880556,-75.8075
great falls,va,2011-03-02,23:30:00,fireball,720.0,Fireball&#44 meteor or other source of infrared lights up yard for 12 minutes on Friday&#44 March 2&#44 2012.,3/13/2012,38.9980556,-77.2886111
st. augustine,fl,2011-06-05,21:23:00,light,120.0,Bright Glowing white orb flying from NW to E then stopped and Moved South,8/7/2011,29.8944444,-81.3147222
l&#39anse,mi,2011-04-24,23:12:00,formation,30.0,so low to the house I could of hit it with a rock.,5/2/2011,46.7566667,-88.4527778
boise (downtown area),id,2011-12-22,08:37:00,light,120.0,Red Light SO FAST N SILENT&#33 Now there are Helicopters flying all over the place?,1/12/2012,43.6136111,-116.2025
murfreesboro,tn,2011-04-23,21:00:00,rectangle,1800.0,12 to 15 orange fiery object over Murfreesboro&#44 TN,5/2/2011,35.8455556,-86.3902778
boulder,co,2011-09-14,23:00:00,chevron,4.0,Pink and blue pulsating manta ray shaped ufo over boulder,12/12/2011,40.015,-105.27
carrollton,oh,2011-04-14,08:45:00,oval,120.0,metalic oval craft over rural eastern ohio,5/2/2011,40.5727778,-81.0858333
winnett,mt,2011-08-25,01:00:00,flash,4.0,It was like a helicopter spotlight but soundless then winked out and then turned into an orange light and unnaturally sped to the right,10/10/2011,47.0027778,-108.3513889
anderson,sc,2011-10-28,06:30:00,light,60.0,Odd light effect in clouds,12/12/2011,34.5033333,-82.6502778
temecula,ca,2011-08-12,19:00:00,light,300.0,Slow bright light moves across night sky over Temecula,8/21/2011,33.4936111,-117.1475
seattle,wa,2011-11-05,23:00:00,sphere,5.0,2 orange balls traveling far faster than any jet in straight line with no sound.,12/12/2011,47.6063889,-122.3308333
flagstaff,az,2011-09-20,20:40:00,circle,3300.0,shining red and blue light in western sky&#44 circular&#44 ring&#44 spinning,10/10/2011,35.1980556,-111.6505556
vincennes,in,2011-01-04,02:50:00,triangle,180.0,I witnessed a short-duration&#44 triangle-shaped UFO in Vincennes&#44 IN on Tuesday 01/04/11 at 2:50 a.m.,1/5/2011,38.6772222,-87.5286111
simi valley,ca,2011-06-21,20:45:00,disk,1800.0,A circle object with 4 smaller LED looking flashing lights in the inside. 2 lights flashing vertically and other 2 flashing horizontall,6/27/2011,34.2694444,-118.7805556
summerville,sc,2012-03-01,20:00:00,circle,10.0,The star that moves in South Carolina,5/13/2012,33.0183333,-80.1758333
oceanside,ca,2012-11-09,03:13:00,circle,20.0,Reddish circular UFO cruising south west in San Diego County.,11/19/2012,33.1958333,-117.3786111
rock springs,wy,2012-03-12,01:02:00,chevron,120.0,Chevron Shaped array of five large lights with sparkling light all around them.,3/13/2012,41.5875,-109.2022222
millheim,pa,2012-10-23,20:00:00,light,120.0,Two lights in the sky that were not planes or any other craft that flies at normal flying altitudes.,10/30/2012,40.8908333,-77.4769444
forty fort,pa,2012-10-11,19:30:00,fireball,720.0,Slow moving bright light,10/30/2012,41.2788889,-75.8786111
coral springs,fl,2012-09-15,20:30:00,triangle,15.0,I was crossing a corner on a street at night and I looked to the right and I see a unidentifiable flying object about cloud high. I saw,9/24/2012,26.2708333,-80.2708333
el centro,ca,2012-08-28,22:00:00,other,1800.0,Ufo like movies type and then turned into orange bright star kinda,9/24/2012,32.7919444,-115.5622222
killeen,tx,2012-10-08,19:20:00,light,480.0,Bright aura surrounding and moving with UFO. Killeen&#44 TX.,10/30/2012,31.1169444,-97.7275
huntersville,nc,2012-05-01,23:20:00,rectangle,120.0,bright red orange and yellow,5/13/2012,35.4105556,-80.8430556
apple valley,ca,2012-10-20,00:00:00,circle,7200.0,CIRCULAR CRAFT TURNING AROUND AND MOVING UP &amp; DOWN SIDE TO SIDE W/ FLASHING LITGHS.  ((NUFORC Note:  Capella?  PD)),10/30/2012,34.5008333,-117.185
lima,oh,2012-06-23,22:30:00,fireball,120.0,The power went out and it came from the south moving north. Seemed to circle around and come back. Moved very quickly. The just vanishe,7/4/2012,40.7425,-84.1052778
hayward,ca,2012-10-05,23:00:00,chevron,8.0,Stealth bomber looking craft&#44 maybe drone&#44 silent&#44 low-flying&#44 25 ft wing tip to wing tip&#44 probably US military,10/30/2012,37.6688889,-122.0797222
rochester,mn,2012-06-07,23:00:00,oval,600.0,BRIGHT ORANGE LIGHTS IN SKY IN SE ROCHESTER MN,6/14/2012,44.0216667,-92.4697222
boston,ma,2012-08-25,00:00:00,oval,600.0,Large white illuminated oval shape above city of Boston.,9/24/2012,42.3583333,-71.0602778
tucson,az,2012-05-05,23:30:00,changing,1200.0,Light in tucson sky,5/29/2012,32.2216667,-110.9258333
richmond,il,2012-09-21,02:12:00,circle,120.0,Orange orbs traveling NNE. One after another with a 20 second space.,9/24/2012,42.4758333,-88.3058333
burke,va,2012-11-17,01:00:00,triangle,5.0,Three very faint lights in a small triangular shape moving very fast across the sky,11/19/2012,38.7933333,-77.2719444
lagrange,oh,2012-12-20,05:30:00,triangle,300.0,Triangle craft with lights in each corner and a large light in the center seen up close.,7/3/2013,41.2372222,-82.12
ypsilanti,mi,2012-11-08,20:17:00,cylinder,60.0,Red low flying object over Ypsilanti. Low speed flight&#44 with a climb then light went away,11/19/2012,42.2411111,-83.6130556
columbia,nj,2012-06-30,23:00:00,sphere,60.0,Round&#44 bright orange object moving erratically over Warren County NJ,7/4/2012,40.9261111,-75.0930556
dysart,ia,2012-04-09,21:45:00,light,120.0,Bright lights in the sky over dysart ia.,4/18/2012,42.1716667,-92.3061111
hamburg,pa,2012-06-27,22:45:00,unknown,600.0,3 steady white lights with flashing red and green lights over Berks County&#44 Pa.,7/4/2012,40.5555556,-75.9822222
san diego,ca,2012-10-09,17:35:00,sphere,720.0,3 white lights with no collision lights heading north from San Diego within a 12 minute period,10/30/2012,32.7152778,-117.1563889
hillsville,va,2012-07-03,22:00:00,oval,600.0,Two Glowing Orbs hovering around the Full Moon after fireworks.,8/5/2012,36.7625,-80.735
belfry,ky,2012-10-16,16:30:00,cylinder,3600.0,Very large mirrored object seen in the sky for over an hour,10/30/2012,37.6202778,-82.2691667
union city,nj,2012-08-01,05:00:00,flash,30.0,Red Light flickering 3 flickers or so per second&#44 small craft from afar by New York city&#44 New Jersey area.,8/5/2012,40.7794444,-74.0241667
burns,tn,2012-10-19,20:30:00,fireball,300.0,Orange &#8220;Fireball&#8221; Observed&#44 Dickson County&#44 Middle Tennessee,10/30/2012,36.0533333,-87.3125
auburn,wa,2012-05-08,00:31:00,light,10.0,Weird light hovers and disappears,5/13/2012,47.3075,-122.2272222
enfield,ct,2012-06-18,00:00:00,sphere,45.0,Odd bright yellow light in the sky with speed changes and changed directions&#44 emitted no sound at all,7/4/2012,41.9761111,-72.5922222
woolwich,me,2012-10-26,20:00:00,circle,120.0,Bright light going across the sky then just disappeared,10/30/2012,43.9186111,-69.8016667
port angeles,wa,2012-02-02,15:00:00,disk,300.0,Yellow saucer seen over the water near Port Angeles    w a   with two photos.  ((NUFORC Note:  We believe a cloud formation.  PD)),2/10/2012,48.1183333,-123.4294444
mantoloking,nj,2012-07-14,22:30:00,light,900.0,Orange-Reddish orbs flying over the sky that seemed like they were on fire.,8/5/2012,40.0391667,-74.0502778
east brunswick,nj,2012-06-25,19:10:00,other,300.0,Stange dark winged objects circling over Rt 18.,7/4/2012,40.4277778,-74.4163889
des moines,ia,2012-11-03,23:45:00,fireball,600.0,3 Bright Red Lights in a Triangle Formation,11/19/2012,41.6005556,-93.6088889
wainscott,ny,2012-03-24,07:00:00,light,4500.0,Bright Orb in sky visible at least 1hr 15mins Wainscott&#44 New York March 24&#44 2012,5/13/2012,40.9366667,-72.2433333
soldotna,ak,2012-11-02,22:30:00,flash,600.0,3 bright consecutive flashes of light.,11/4/2012,60.4877778,-151.0583333
thaxton,ms,2012-08-12,18:30:00,sphere,120.0,Metal sphere rising out of woods scares wildlife and me,8/19/2012,34.3075,-89.1780556
oceano,ca,2012-12-26,20:00:00,rectangle,5.0,Huge rectangle crossed the sky.,2/4/2013,35.0988889,-120.6113889
texas city,il,2012-01-12,01:26:00,sphere,2520.0,Sitting out by a bonfire in an area near a hwy and inter-county bike trail&#44 a few friends and I observed 4 low flying fireball craft.,2/3/2012,37.8783333,-88.3933333
kingston,tn,2012-01-01,01:00:00,light,1800.0,16 Amber Lights Flying in a Straight Line Over Tennessee.,1/12/2012,35.8808333,-84.5086111
simpsonville,sc,2012-08-04,21:12:00,fireball,180.0,Reddish orange crafts (two) move slowly  through the sky&#44 one following the other.,8/5/2012,34.7369444,-82.2544444
jackson,wi,2012-10-20,20:30:00,fireball,600.0,Two Unidentified Objects observed over Washington County (Wisconsin),10/30/2012,43.3238889,-88.1666667
cortland,ny,2012-08-25,21:00:00,fireball,600.0,A group of about 10 fireball like objects traveling at about the speed of a normal helicopter with no sound. Ten minutes to cross sky.,9/24/2012,42.6011111,-76.1808333
deltona,fl,2012-07-04,21:30:00,fireball,1800.0,Red fireballs over Deltona&#44 FL,8/5/2012,28.9002778,-81.2638889
sterling heights,mi,2012-10-10,19:09:00,oval,120.0,A black unknown craft is seen in the sky over Sterling Hts. Michigan,10/30/2012,42.5802778,-83.0302778
arnold,mo,2012-06-22,01:20:00,circle,600.0,Blue orb hovered over a tree&#44 2 doors down from my house in Arnold&#44 MO,7/4/2012,38.4327778,-90.3775
eufaula,al,2012-01-03,00:19:00,light,420.0,Blinking light in the southern sky,1/12/2012,31.8911111,-85.1455556
