;Region,Year,;Trigger,;Weak Layer,Depth_inches,Elevation_feet,Vertical_inches,Coordinates,Month,;Aspect,Day
Salt Lake,2011,Skier,New Snow/Old Snow Interface,8,8500.0,3000.0,"40.696778000000, -111.591225000000",4,Southeast,22
Salt Lake,2011,Skier,Graupel,12,10100.0,3000.0,"40.600790000000, -111.632767000000",4,East,22
Salt Lake,2011,Natural,Facets,48,10000.0,9600.0,"40.669962000000, -111.683235000000",4,East,22
Logan,2011,Natural,New Snow/Old Snow Interface,12,8400.0,12000.0,"41.618254000000, -111.998976000000",4,East,18
Salt Lake,2011,Skier,New Snow/Old Snow Interface,10,10200.0,7200.0,"40.600725000000, -111.634312000000",4,North,22
Salt Lake,2011,Skier,New Snow,6,9700.0,2400.0,"40.563621000000, -111.677141000000",4,North,26
Salt Lake,2011,Snowboarder,Surface Hoar,1,9300.0,3600.0,"40.565264000000, -111.678343000000",4,Northeast,27
Salt Lake,2011,Skier,New Snow/Old Snow Interface,6,10400.0,18000.0,"40.628546000000, -111.664009000000",4,Northeast,27
Salt Lake,2011,Skier,New Snow/Old Snow Interface,18,10200.0,30000.0,"40.592674000000, -111.661479000000",4,South,27
Provo,2011,Skier,New Snow/Old Snow Interface,12,11300.0,21000.0,"39.825499000000, -111.756899000000",4,East,27
Logan,2011,Skier,New Snow/Old Snow Interface,6,7800.0,2400.0,"41.681182000000, -111.755934000000",4,North,30
Ogden,2011,Natural,Unknown,42,9400.0,27000.0,"41.379771000000, -111.973472000000",5,East,11
Salt Lake,2011,Skier,New Snow/Old Snow Interface,9,10000.0,360.0,"40.592448000000, -111.611094000000",5,Northwest,17
Salt Lake,2011,Skier,New Snow/Old Snow Interface,8,9600.0,4800.0,"40.617015000000, -111.538353000000",5,East,20
Salt Lake,2011,Skier,Unknown,6,9500.0,5400.0,"0.000000000000, 0.000000000000",6,South,2
Salt Lake,2011,Skier,Unknown,12,10000.0,600.0,"40.573120000000, -111.640406000000",11,Northeast,6
Salt Lake,2011,Skier,Facets,8,9800.0,600.0,"0.000000000000, 0.000000000000",11,Northeast,7
Salt Lake,2011,Snowboarder,Facets,12,9200.0,2400.0,"40.560845000000, -111.662164000000",11,Northeast,12
Logan,2011,Natural,Facets,12,8500.0,3000.0,"41.888285000000, -111.645813000000",11,North,12
Salt Lake,2011,Skier,Ground Interface,16,10400.0,4800.0,"40.578727000000, -111.598434000000",11,Northeast,13
Salt Lake,2011,Skier,Facets,20,10000.0,6000.0,"40.569532000000, -111.631737000000",11,North,13
Salt Lake,2011,Skier,Unknown,18,10000.0,2400.0,"40.592252000000, -111.608133000000",11,East,13
Salt Lake,2011,Skier,Unknown,12,9700.0,1800.0,"40.592729000000, -111.616931000000",11,North,13
Salt Lake,2011,Skier,Unknown,12,10500.0,720.0,"40.577573000000, -111.595151000000",11,North,12
Salt Lake,2011,Skier,Facets,30,10400.0,360.0,"40.571315000000, -111.640427000000",11,North,13
Salt Lake,2011,Snowboarder,Depth Hoar,16,10300.0,9600.0,"40.568491000000, -111.652937000000",11,Northwest,13
Salt Lake,2011,Skier,Unknown,22,10200.0,4800.0,"40.578368000000, -111.630707000000",11,North,13
Salt Lake,2011,Skier,Ground Interface,6,9200.0,960.0,"40.607828000000, -111.637058000000",11,Northeast,12
Salt Lake,2011,Skier,Unknown,20,9600.0,6000.0,"40.583049000000, -111.633432000000",11,Northwest,13
Salt Lake,2011,Natural,Unknown,14,10000.0,9600.0,"0.000000000000, 0.000000000000",11,Northeast,13
Logan,2011,Natural,Facets,24,8800.0,2400.0,"41.886658000000, -111.649902000000",11,North,14
Salt Lake,2011,Natural,Unknown,12,10000.0,9600.0,"0.000000000000, 0.000000000000",11,Northeast,14
Salt Lake,2011,Unknown,Facets,20,10200.0,3000.0,"40.590525000000, -111.608133000000",11,East,13
Salt Lake,2011,Natural,Facets,18,10000.0,6000.0,"40.599523000000, -111.630751000000",11,North,13
Salt Lake,2011,Skier,Facets,36,10100.0,8400.0,"40.581537000000, -111.582685000000",11,Northwest,20
Salt Lake,2011,Skier,Ground Interface,42,9600.0,960.0,"40.592317000000, -111.614399000000",11,North,20
Salt Lake,2011,Unknown,Unknown,24,10100.0,3000.0,"40.594012000000, -111.562986000000",11,North,25
Moab,2011,Natural,Facets,9,11200.0,7200.0,"38.449395000000, -109.260921000000",12,Northeast,16
Salt Lake,2011,Skier,Surface Hoar,8,10400.0,2400.0,"40.604895000000, -111.642938000000",12,North,17
Salt Lake,2011,Skier,Facets,6,9800.0,1500.0,"40.582312000000, -111.585045000000",12,Northeast,17
Salt Lake,2011,Skier,Facets,12,10000.0,1080.0,"40.594794000000, -111.651134000000",12,East,22
Salt Lake,2011,Natural,Facets,18,10000.0,8400.0,"0.000000000000, 0.000000000000",12,Northeast,22
Salt Lake,2011,Skier,Surface Hoar,10,10500.0,4200.0,"40.594223000000, -111.664352000000",12,Northeast,23
Salt Lake,2011,Skier,Unknown,9,9400.0,2100.0,"40.656400000000, -111.612682000000",12,North,26
Salt Lake,2011,Skier,Facets,8,10200.0,2100.0,"40.593152000000, -111.559982000000",12,Northeast,26
Salt Lake,2011,Skier,Facets,4,10300.0,1800.0,"40.594403000000, -111.562729000000",12,North,26
Salt Lake,2011,Skier,Unknown,15,10000.0,9600.0,"0.000000000000, 0.000000000000",12,Northeast,31
Salt Lake,2011,Snowboarder,Unknown,8,9500.0,3000.0,"40.593621000000, -111.594143000000",12,Northeast,31
Logan,2012,Skier,Facets,14,8400.0,3000.0,"41.921247000000, -111.629848000000",1,East,1
Salt Lake,2011,Natural,Depth Hoar,12,10000.0,6000.0,"40.599291000000, -111.628647000000",12,North,31
Salt Lake,2012,Skier,Unknown,12,9200.0,8400.0,"0.000000000000, 0.000000000000",1,Northeast,2
Ogden,2011,Natural,Facets,6,8300.0,1200.0,"41.372590000000, -111.962829000000",12,Northeast,31
Salt Lake,2012,Skier,Facets,10,10800.0,4200.0,"40.534916000000, -111.705079000000",1,North,2
Salt Lake,2012,Natural,Unknown,12,9400.0,6000.0,"40.671999000000, -111.628007000000",1,North,3
Salt Lake,2012,Skier,New Snow,8,9600.0,2400.0,"40.593719000000, -111.648173000000",1,East,8
Provo,2012,Skier,Unknown,12,10000.0,3600.0,"40.566111000000, -111.600881000000",1,East,3
Provo,2012,Skier,New Snow/Old Snow Interface,14,10000.0,6000.0,"40.574343000000, -111.600518000000",1,East,9
Salt Lake,2012,Skier,Facets,18,10300.0,3000.0,"40.589906000000, -111.608133000000",1,Northeast,11
Salt Lake,2012,Natural,Unknown,8,9700.0,4800.0,"40.614068000000, -111.558289000000",1,Northeast,9
Salt Lake,2012,Unknown,Unknown,24,9700.0,4800.0,"40.614376000000, -111.558781000000",1,Northeast,2
Salt Lake,2012,Skier,Unknown,4,9300.0,840.0,"40.605026000000, -111.625900000000",1,North,15
Ogden,2012,Skier,Facets,36,9800.0,4800.0,"0.000000000000, 0.000000000000",1,Northeast,17
Logan,2012,Skier,Unknown,12,8900.0,6000.0,"41.683169000000, -111.696925000000",1,East,18
Salt Lake,2012,Natural,New Snow,6,9800.0,8400.0,"40.664624000000, -111.600666000000",1,North,19
Salt Lake,2012,Skier,Facets,15,9800.0,2400.0,"40.591992000000, -111.615257000000",1,North,19
Salt Lake,2012,Skier,Depth Hoar,18,9600.0,360.0,"40.604731000000, -111.569563000000",1,East,19
Salt Lake,2012,Natural,Facets,8,10200.0,3600.0,"40.602032000000, -111.558191000000",1,East,19
Logan,2012,Natural,Facets,12,6900.0,1800.0,"41.952788000000, -111.542087000000",1,West,19
Salt Lake,2012,Skier,Unknown,14,9800.0,10800.0,"40.638837000000, -111.576719000000",1,Northeast,19
Salt Lake,2012,Skier,Facets,7,10000.0,7200.0,"40.625224000000, -111.567172000000",1,Northeast,19
Salt Lake,2012,Skier,Facets,22,10300.0,10800.0,"40.591796000000, -111.606331000000",1,East,19
Salt Lake,2012,Skier,Unknown,12,8800.0,4200.0,"40.672166000000, -111.691663000000",1,West,19
Salt Lake,2012,Unknown,Depth Hoar,36,10200.0,6000.0,"40.594664000000, -111.559639000000",1,East,20
Salt Lake,2012,Skier,Facets,42,10000.0,8400.0,"40.591771000000, -111.607919000000",1,Northeast,20
Salt Lake,2012,Snowboarder,Depth Hoar,42,9500.0,3600.0,"40.599226000000, -111.571827000000",1,Northeast,20
Salt Lake,2012,Skier,Facets,13,9000.0,1200.0,"40.661629000000, -111.638603000000",1,Northeast,20
Salt Lake,2012,Skier,Facets,12,8700.0,720.0,"40.650722000000, -111.626673000000",1,Northwest,20
Skyline,2012,Skier,Facets,30,9500.0,1800.0,"39.630945000000, -111.330214000000",1,East,20
Logan,2012,Skier,Unknown,24,8600.0,600.0,"0.000000000000, 0.000000000000",1,Northeast,20
Salt Lake,2012,Unknown,Facets,14,9100.0,2400.0,"40.593816000000, -111.623197000000",1,Northwest,20
Salt Lake,2012,Skier,Facets,16,10100.0,8400.0,"40.600301000000, -111.637530000000",1,North,20
Salt Lake,2012,Natural,Facets,16,9900.0,6000.0,"40.599186000000, -111.629271000000",1,North,19
Salt Lake,2012,Skier,Facets,24,9700.0,12000.0,"40.634839000000, -111.562428000000",1,Northeast,20
Salt Lake,2012,Skier,Facets,14,9600.0,4800.0,"40.596228000000, -111.639805000000",1,Southeast,20
Salt Lake,2012,Skier,Facets,12,10200.0,4800.0,"40.596945000000, -111.608734000000",1,East,20
Salt Lake,2012,Skier,Facets,20,9700.0,4800.0,"40.631347000000, -111.563759000000",1,East,20
Salt Lake,2012,Skier,Facets,16,10000.0,8400.0,"40.599968000000, -111.620730000000",1,North,20
Salt Lake,2012,Skier,Facets,16,10100.0,4200.0,"40.600888000000, -111.616631000000",1,West,20
Salt Lake,2012,Unknown,Facets,12,9300.0,7200.0,"40.662541000000, -111.644912000000",1,Northeast,19
Salt Lake,2012,Skier,Facets,14,9200.0,2400.0,"0.000000000000, 0.000000000000",1,Northwest,20
Salt Lake,2012,Skier,Facets,18,9100.0,9600.0,"40.674715000000, -111.656928000000",1,Northeast,20
Salt Lake,2012,Skier,Facets,16,8800.0,9600.0,"40.674161000000, -111.650190000000",1,Northeast,20
Logan,2012,Skier,Depth Hoar,24,8500.0,1080.0,"41.974475000000, -111.483228000000",1,Northeast,21
Logan,2012,Unknown,Depth Hoar,24,8600.0,4200.0,"41.972740000000, -111.482949000000",1,Northeast,20
Salt Lake,2012,Unknown,New Snow/Old Snow Interface,15,9600.0,2400.0,"40.645675000000, -111.602683000000",1,West,21
Salt Lake,2012,Skier,Unknown,20,8500.0,4800.0,"40.728267000000, -111.613884000000",1,North,21
Salt Lake,2012,Skier,Unknown,18,8200.0,360.0,"40.661108000000, -111.629591000000",1,Northeast,21
Ogden,2012,Skier,Facets,30,7400.0,360.0,"0.000000000000, 0.000000000000",1,East,20
Salt Lake,2012,Snowboarder,Unknown,60,10200.0,7200.0,"40.595446000000, -111.561356000000",1,North,22
Provo,2012,Skier,Depth Hoar,30,9100.0,4800.0,"40.369239000000, -111.607275000000",1,Northeast,22
Uintas,2012,Natural,Unknown,30,10100.0,720.0,"40.844853000000, -110.989208000000",1,Northeast,21
Ogden,2012,Natural,New Snow,36,7500.0,1800.0,"0.000000000000, 0.000000000000",1,Northeast,22
Logan,2012,Snowboarder,Depth Hoar,36,8500.0,1800.0,"0.000000000000, 0.000000000000",1,Northeast,21
Provo,2012,Skier,Facets,36,9100.0,4800.0,"40.369337000000, -111.607361000000",1,Northeast,22
SE Idaho,2012,Snowmobiler,New Snow/Old Snow Interface,30,8000.0,1800.0,"42.098095000000, -111.620922000000",1,East,20
Salt Lake,2012,Skier,Facets,48,10100.0,10800.0,"0.000000000000, 0.000000000000",1,Northeast,23
Salt Lake,2012,Skier,Facets,30,8400.0,1200.0,"40.637665000000, -111.643753000000",1,Northeast,22
Salt Lake,2012,Unknown,Unknown,30,8100.0,1200.0,"40.639834000000, -111.645062000000",1,Northeast,23
Salt Lake,2012,Skier,Facets,24,8500.0,600.0,"40.648170000000, -111.608627000000",1,North,24
Salt Lake,2012,Unknown,Facets,36,9600.0,8400.0,"40.663192000000, -111.599121000000",1,East,24
Ogden,2012,Snowmobiler,Ground Interface,84,9000.0,7200.0,"41.501732000000, -111.466942000000",1,Unknown,24
Skyline,2012,Natural,Depth Hoar,14,8800.0,600.0,"39.671917000000, -111.337509000000",1,Northwest,26
Skyline,2012,Natural,Facets,14,8200.0,600.0,"39.666103000000, -111.344461000000",1,Northwest,26
Salt Lake,2012,Unknown,Facets,36,9600.0,7200.0,"40.667358000000, -111.603584000000",1,East,27
Salt Lake,2012,Skier,New Snow/Old Snow Interface,12,10200.0,8400.0,"40.597825000000, -111.647744000000",1,Southeast,27
Salt Lake,2012,Skier,Depth Hoar,36,10100.0,9600.0,"40.599584000000, -111.639633000000",1,North,27
Skyline,2012,Skier,New Snow/Old Snow Interface,30,9200.0,1200.0,"39.569837000000, -111.265411000000",1,East,27
Uintas,2012,Snowmobiler,Depth Hoar,36,10200.0,2400.0,"40.947167000000, -110.668201000000",1,East,25
Salt Lake,2012,Snowboarder,Facets,30,10200.0,30000.0,"40.624442000000, -111.669588000000",1,West,28
Salt Lake,2012,Skier,Facets,24,10300.0,6000.0,"40.599812000000, -111.642637000000",1,Northeast,29
Uintas,2012,Skier,Depth Hoar,36,10400.0,4800.0,"40.840827000000, -111.108427000000",1,North,28
Salt Lake,2012,Skier,Facets,42,10600.0,9600.0,"40.583877000000, -111.598392000000",1,East,29
Salt Lake,2012,Skier,Facets,18,9700.0,5400.0,"40.658817000000, -111.597469000000",1,West,29
Skyline,2012,Unknown,Depth Hoar,36,10000.0,2400.0,"39.571326000000, -111.309142000000",1,North,29
SE Idaho,2012,Snowboarder,Unknown,18,7900.0,1200.0,"42.080006000000, -111.626372000000",2,North,3
Salt Lake,2012,Snowmobiler,Facets,48,10600.0,8400.0,"40.543711000000, -111.646628000000",2,North,4
Salt Lake,2012,Unknown,Facets,7,10000.0,1800.0,"40.594533000000, -111.608391000000",2,North,12
Salt Lake,2012,Natural,Unknown,8,9700.0,4800.0,"40.631660000000, -111.563179000000",2,East,12
Salt Lake,2012,Unknown,New Snow,14,9100.0,4200.0,"40.557577000000, -111.691582000000",2,East,13
Provo,2012,Natural,New Snow/Old Snow Interface,9,10000.0,9600.0,"40.418103000000, -111.629891000000",2,Northeast,12
Salt Lake,2012,Natural,Density Change,12,10100.0,10800.0,"40.647644000000, -111.582685000000",2,Northeast,12
Logan,2012,Natural,New Snow/Old Snow Interface,10,9500.0,6000.0,"41.902596000000, -111.669245000000",2,Northeast,15
Salt Lake,2012,Natural,Unknown,24,10700.0,15000.0,"40.591600000000, -111.710744000000",2,North,13
Uintas,2012,Snowmobiler,Depth Hoar,36,9900.0,4800.0,"40.298631000000, -111.124885000000",2,North,16
Salt Lake,2012,Natural,New Snow/Old Snow Interface,2,9600.0,480.0,"40.610304000000, -111.543503000000",2,South,19
Provo,2012,Natural,New Snow,6,10400.0,12000.0,"40.365094000000, -111.614270000000",2,East,19
Provo,2012,Snowmobiler,Facets,12,9500.0,5400.0,"40.552581000000, -111.567664000000",2,Southeast,19
Salt Lake,2012,Skier,Surface Hoar,10,9800.0,2400.0,"40.598920000000, -111.626517000000",2,North,20
Salt Lake,2012,Explosive,Depth Hoar,30,9600.0,7200.0,"0.000000000000, 0.000000000000",2,Northeast,20
Uintas,2012,Snowmobiler,Depth Hoar,30,10300.0,1800.0,"40.842320000000, -111.025858000000",2,Southwest,18
Salt Lake,2012,Skier,Density Change,5,9700.0,4200.0,"40.585082000000, -111.587749000000",2,Northeast,21
Salt Lake,2012,Skier,New Snow/Old Snow Interface,8,9400.0,1200.0,"40.420614000000, -112.204452000000",2,Southeast,20
Logan,2012,Snowmobiler,Surface Hoar,36,9000.0,6000.0,"41.979484000000, -111.641436000000",2,Northeast,22
Salt Lake,2012,Skier,Unknown,18,10100.0,9600.0,"0.000000000000, 0.000000000000",2,Northeast,23
Logan,2012,Snowmobiler,Facets,30,8800.0,4200.0,"41.906238000000, -111.654267000000",2,East,22
Logan,2012,Natural,Surface Hoar,24,7700.0,1080.0,"41.973020000000, -111.475096000000",2,Southwest,22
Salt Lake,2012,Explosive,Surface Hoar,48,10000.0,24000.0,"40.627939000000, -111.668496000000",2,Northwest,24
Logan,2012,Snowmobiler,Surface Hoar,24,9000.0,2400.0,"41.987084000000, -111.634315000000",2,Northeast,24
Uintas,2012,Skier,Depth Hoar,30,10000.0,1200.0,"0.000000000000, 0.000000000000",2,East,24
Ogden,2012,Snowmobiler,Facets,36,9000.0,4200.0,"41.516354000000, -111.473808000000",2,Northeast,24
Salt Lake,2012,Skier,New Snow/Old Snow Interface,1,9400.0,4200.0,"40.690970000000, -111.609174000000",2,Southeast,24
Salt Lake,2012,Snowmobiler,Surface Hoar,24,8800.0,600.0,"41.933344000000, -111.661438000000",2,East,24
Salt Lake,2012,Skier,Unknown,12,10100.0,5400.0,"40.596717000000, -111.649675000000",2,South,26
Provo,2012,Snowmobiler,Unknown,36,10400.0,1200.0,"40.575793000000, -111.594272000000",2,Southwest,25
Salt Lake,2012,Skier,Unknown,12,10300.0,6000.0,"40.604309000000, -111.642294000000",2,East,26
Moab,2012,Skier,Unknown,13,10300.0,840.0,"0.000000000000, 0.000000000000",2,Northeast,25
Ogden,2012,Natural,Unknown,20,7800.0,960.0,"0.000000000000, 0.000000000000",2,Northeast,25
Logan,2012,Snowmobiler,Surface Hoar,18,9000.0,2400.0,"41.953014000000, -111.646460000000",2,Northeast,22
Salt Lake,2012,Skier,New Snow/Old Snow Interface,8,9500.0,7200.0,"0.000000000000, 0.000000000000",2,East,28
Salt Lake,2012,Skier,New Snow/Old Snow Interface,18,10000.0,8400.0,"0.000000000000, 0.000000000000",2,Southeast,28
Salt Lake,2012,Skier,Unknown,30,7700.0,2400.0,"40.733470000000, -111.606503000000",2,North,28
Salt Lake,2012,Skier,Unknown,30,10000.0,4800.0,"0.000000000000, 0.000000000000",2,Northeast,28
Salt Lake,2012,Unknown,Unknown,10,9200.0,2400.0,"0.000000000000, 0.000000000000",2,Northwest,28
Provo,2012,Skier,Density Change,24,9200.0,7200.0,"40.369555000000, -111.606332000000",2,Northeast,29
Salt Lake,2012,Explosive,Unknown,36,10000.0,2400.0,"40.590949000000, -111.598263000000",3,Northwest,1
Salt Lake,2012,Unknown,Unknown,24,9200.0,2400.0,"40.653425000000, -111.585045000000",3,Northwest,1
Salt Lake,2012,Natural,Facets,36,10000.0,10800.0,"40.632291000000, -111.573415000000",3,North,1
Salt Lake,2012,Skier,New Snow,24,10000.0,3000.0,"40.583681000000, -111.577964000000",3,Northeast,1
Salt Lake,2012,Skier,Facets,24,8900.0,5400.0,"40.617601000000, -111.623883000000",3,Northeast,1
Salt Lake,2012,Skier,Unknown,18,9000.0,9600.0,"40.660107000000, -111.645942000000",3,Southeast,2
Salt Lake,2012,Natural,Unknown,30,10400.0,12000.0,"40.606590000000, -111.644440000000",3,Northeast,2
Logan,2012,Skier,Depth Hoar,42,9000.0,8400.0,"41.683425000000, -111.692891000000",3,Northeast,2
Uintas,2012,Snowboarder,New Snow/Old Snow Interface,30,10400.0,4800.0,"40.843230000000, -111.069245000000",3,East,2
Uintas,2012,Natural,New Snow,10,10300.0,8400.0,"40.838944000000, -111.067829000000",3,North,2
Uintas,2012,Natural,Unknown,30,9700.0,3600.0,"40.486729000000, -111.123877000000",3,East,2
Ogden,2012,Snowmobiler,Facets,30,8400.0,2400.0,"40.880769000000, -111.767542000000",3,North,2
Logan,2012,Natural,Density Change,8,7400.0,1500.0,"41.686983000000, -111.728768000000",3,North,2
Provo,2012,Natural,Unknown,30,10100.0,21000.0,"40.375255000000, -111.612511000000",3,East,2
Moab,2012,Snowmobiler,Unknown,24,10200.0,12000.0,"38.539320000000, -109.209852000000",3,Southeast,3
Salt Lake,2012,Skier,Density Change,36,9300.0,7200.0,"40.664331000000, -111.643710000000",3,East,3
Uintas,2012,Snowmobiler,New Snow/Old Snow Interface,24,9000.0,4200.0,"40.641743000000, -111.131172000000",3,East,3
Salt Lake,2012,Unknown,Unknown,30,9500.0,6000.0,"0.000000000000, 0.000000000000",3,Northeast,3
Salt Lake,2012,Skier,Unknown,24,970.0461536314,165882.571379395,"40.723063000000, -111.694007000000",3,East,3
Ogden,2012,Natural,Unknown,30,8600.0,3600.0,"41.361060000000, -111.944847000000",3,North,2
Salt Lake,2012,Skier,Unknown,24,8600.0,7200.0,"40.620891000000, -111.680145000000",3,West,3
Salt Lake,2012,Skier,New Snow/Old Snow Interface,24,8100.0,12000.0,"40.723961000000, -111.691904000000",3,East,4
Provo,2012,Snowmobiler,Ground Interface,48,9700.0,12000.0,"40.580585000000, -111.569939000000",3,East,4
Salt Lake,2012,Natural,Unknown,18,8600.0,6000.0,"40.837775000000, -111.714735000000",3,Southeast,4
Logan,2012,Unknown,Unknown,48,9400.0,4800.0,"41.914541000000, -111.659632000000",3,Southeast,4
Salt Lake,2012,Explosive,Unknown,30,10000.0,12000.0,"40.599063000000, -111.621609000000",3,Southeast,4
Salt Lake,2012,Unknown,Unknown,42,10000.0,9600.0,"40.583192000000, -111.566849000000",3,South,4
Salt Lake,2012,Explosive,Unknown,36,9600.0,6000.0,"40.592187000000, -111.619034000000",3,West,4
Salt Lake,2012,Unknown,Density Change,9,9200.0,1200.0,"40.586060000000, -111.592941000000",3,Southeast,4
Salt Lake,2012,Natural,New Snow/Old Snow Interface,14,9100.0,2400.0,"40.664884000000, -111.643367000000",3,East,3
Provo,2012,Natural,Unknown,48,10800.0,36000.0,"0.000000000000, 0.000000000000",3,East,4
Salt Lake,2012,Natural,Unknown,30,9700.0,6000.0,"40.596802000000, -111.642702000000",3,South,4
Uintas,2012,Snowmobiler,Depth Hoar,24,9500.0,7200.0,"40.287055000000, -111.125379000000",3,East,4
Salt Lake,2012,Natural,Unknown,24,9000.0,6000.0,"40.621119000000, -111.623325000000",3,East,4
Logan,2012,Natural,Unknown,24,8800.0,24000.0,"41.821702000000, -111.677828000000",3,Southeast,5
Logan,2012,Unknown,Depth Hoar,48,8400.0,2400.0,"41.901723000000, -111.645974000000",3,East,2
Salt Lake,2012,Natural,New Snow/Old Snow Interface,12,9500.0,3600.0,"40.621608000000, -111.551528000000",3,East,5
Logan,2012,Unknown,Unknown,24,9500.0,6000.0,"41.702044000000, -111.711216000000",3,East,4
Uintas,2012,Snowmobiler,Surface Hoar,24,10000.0,1800.0,"40.869911000000, -110.969124000000",3,Northeast,4
Ogden,2012,Natural,Facets,42,8800.0,5400.0,"41.388336000000, -111.793270000000",3,Southeast,4
Salt Lake,2012,Natural,Unknown,20,9400.0,1800.0,"40.665097000000, -111.676043000000",3,Northeast,4
Logan,2012,Snowmobiler,Depth Hoar,30,9300.0,3000.0,"41.712745000000, -111.714692000000",3,East,8
Skyline,2012,Natural,Depth Hoar,14,8800.0,240.0,"39.647733000000, -111.254125000000",3,Northeast,8
Uintas,2012,Snowmobiler,Facets,24,9800.0,3000.0,"40.910659000000, -110.974789000000",3,Northeast,8
Salt Lake,2012,Natural,Unknown,24,10100.0,8400.0,"40.601983000000, -111.647422000000",3,West,9
Salt Lake,2012,Natural,Unknown,10,9600.0,2400.0,"40.669420000000, -111.603489000000",3,South,12
Logan,2012,Snowmobiler,Unknown,48,9400.0,5400.0,"41.974487000000, -111.657915000000",3,Northeast,8
Logan,2012,Natural,Depth Hoar,36,8600.0,3600.0,"41.693713000000, -111.691732000000",3,East,15
Logan,2012,Skier,New Snow/Old Snow Interface,12,8000.0,2100.0,"41.821095000000, -111.670489000000",3,Northeast,19
Salt Lake,2012,Skier,Depth Hoar,36,10200.0,21000.0,"40.628546000000, -111.666541000000",3,North,19
Salt Lake,2012,Skier,Unknown,36,9400.0,7200.0,"40.665731000000, -111.598992000000",3,Northeast,20
Skyline,2012,Snowmobiler,Depth Hoar,42,10300.0,3600.0,"39.532363000000, -111.297941000000",3,East,31
Ogden,2012,Natural,Surface Hoar,20,8500.0,7200.0,"41.166754000000, -111.872513000000",4,Northeast,2
Salt Lake,2012,Unknown,New Snow,8,9700.0,4800.0,"0.000000000000, 0.000000000000",4,East,13
Logan,2012,Natural,New Snow/Old Snow Interface,10,8600.0,7200.0,"41.668528000000, -112.024198000000",4,East,13
Salt Lake,2012,Skier,New Snow/Old Snow Interface,10,10100.0,6000.0,"0.000000000000, 0.000000000000",4,Northeast,15
Logan,2012,Skier,New Snow/Old Snow Interface,6,8600.0,5400.0,"41.670817000000, -112.026393000000",4,Northeast,16
Provo,2012,Unknown,Unknown,12,9000.0,4800.0,"40.426565000000, -111.674051000000",4,Northeast,17
Uintas,2012,Natural,Density Change,24,11500.0,12000.0,"40.701203000000, -110.901961000000",4,Northeast,21
Logan,2012,Skier,New Snow/Old Snow Interface,6,8700.0,5400.0,"41.886049000000, -111.645341000000",4,North,29
Provo,2012,Unknown,Unknown,24,10200.0,10800.0,"40.299494000000, -111.584616000000",5,Northeast,3
Salt Lake,2013,Skier,Facets,10,10100.0,3600.0,"40.572598000000, -111.640363000000",10,North,29
Salt Lake,2013,Skier,Facets,10,10000.0,3000.0,"40.572512000000, -111.639311000000",10,North,29
Salt Lake,2013,Natural,Facets,12,10100.0,4800.0,"40.581497000000, -111.582642000000",10,Northwest,29
Salt Lake,2013,Skier,Facets,24,10600.0,10800.0,"40.570459000000, -111.639311000000",11,North,6
Salt Lake,2013,Skier,New Snow,8,10400.0,3600.0,"40.578510000000, -111.597812000000",11,Northeast,16
Salt Lake,2013,Skier,Depth Hoar,24,10400.0,1200.0,"40.577635000000, -111.595473000000",11,North,17
Salt Lake,2013,Skier,Ground Interface,48,10000.0,1200.0,"40.589189000000, -111.609421000000",11,North,17
Salt Lake,2013,Skier,Facets,2,10200.0,2400.0,"40.592057000000, -111.608477000000",11,Northeast,17
Provo,2013,Natural,Depth Hoar,12,10600.0,12000.0,"40.308980000000, -111.587427000000",11,East,16
Uintas,2013,Snowmobiler,Depth Hoar,24,10000.0,3600.0,"40.713618000000, -111.142845000000",11,Northeast,17
Skyline,2013,Natural,Facets,14,10100.0,720.0,"39.613819000000, -111.291847000000",11,North,22
Uintas,2013,Skier,Depth Hoar,30,9700.0,1800.0,"40.491009000000, -110.971184000000",11,Northwest,22
Skyline,2013,Natural,Facets,30,10000.0,720.0,"39.613487000000, -111.292877000000",11,Northwest,23
Salt Lake,2013,Unknown,Facets,18,10000.0,6000.0,"40.599772000000, -111.620171000000",11,North,24
Moab,2013,Natural,Depth Hoar,30,11300.0,15000.0,"38.456257000000, -109.249493000000",11,Northwest,23
Salt Lake,2013,Skier,New Snow/Old Snow Interface,8,9600.0,240.0,"40.614474000000, -111.518097000000",12,North,3
Salt Lake,2013,Skier,Facets,16,9400.0,1800.0,"40.613170000000, -111.532130000000",12,Northeast,3
Salt Lake,2013,Skier,New Snow/Old Snow Interface,12,9200.0,3000.0,"40.605558000000, -111.593349000000",12,Northeast,3
Salt Lake,2013,Skier,Density Change,4,9700.0,3600.0,"40.586039000000, -111.588242000000",12,Northeast,3
Salt Lake,2013,Skier,New Snow/Old Snow Interface,12,9800.0,4800.0,"40.600443000000, -111.598413000000",12,Northwest,3
Salt Lake,2013,Snow Bike,Ground Interface,6,5100.0,360.0,"40.572646000000, -111.832700000000",12,Southwest,3
Salt Lake,2013,Natural,Density Change,4,10200.0,4800.0,"40.601762000000, -111.558373000000",12,Northeast,3
Salt Lake,2013,Skier,Facets,24,10000.0,9600.0,"40.600268000000, -111.558094000000",12,Northeast,4
Salt Lake,2013,Natural,New Snow/Old Snow Interface,16,9800.0,4800.0,"40.613887000000, -111.539040000000",12,Northeast,4
Uintas,2013,Natural,Depth Hoar,36,10300.0,3600.0,"40.788002000000, -111.015816000000",12,Northeast,3
